1.424235026,38.93836933
1.424034966,38.93830243
1.423733181,38.93807659
1.422502306,38.93601488
1.420355903,38.93164368
1.417426215,38.92327062
1.413798014,38.91156144
1.409617106,38.89795022
1.404842801,38.88201049
1.399505615,38.86338679
1.393591987,38.84168466
1.386817084,38.81676691
1.37930976,38.78776548
1.371239556,38.75519965
1.362484402,38.71979163
1.353030735,38.67969012
1.342834473,38.63541765
1.331899007,38.58708185
1.320210775,38.53507913
1.307657878,38.47678709
1.294203016,38.41363163
1.27992079,38.34562092
1.264838325,38.27077553
1.249009874,38.19018271
1.232510037,38.10383833
1.215274387,38.01071202
1.197374132,37.91315521
1.178707547,37.81328144
1.159301758,37.70454994
1.139153375,37.59023938
1.118377686,37.46948031
1.096940782,37.34292611
1.074974908,37.21141739
1.052490234,37.07502249
1.029615614,36.93735682
1.006408691,36.79537849
0.982876248,36.65496915
0.959103054,36.51261629
0.935146756,36.37025958
0.911017524,36.22497059
0.886773003,36.08264204
0.862392849,35.94101052
0.837941488,35.80117184
0.813408746,35.66442651
0.788818359,35.53033879
0.764153375,35.39628059
0.739420573,35.26232546
0.714626736,35.12847538
0.689802382,34.98645353
0.689503988,34.98588171
0.68898858,34.98460167
0.688218859,34.98223321
0.687154134,34.9781715
0.68580797,34.97232822
0.684095595,34.96416043
0.682050917,34.95304891
0.679595947,34.93851388
0.67678833,34.92132097
0.673495822,34.89960027
0.669809977,34.87351059
0.665595161,34.84285259
0.660875109,34.80704198
0.655721029,34.76644063
0.64996677,34.71799054
0.643758138,34.66435169
0.636986627,34.60298681
0.629737006,34.53566738
0.621955024,34.46155532
0.613691542,34.3790979
0.604977078,34.28852354
0.595689562,34.19085494
0.585951063,34.08420287
0.575720893,33.96759937
0.564975315,33.84475605
0.553833008,33.71422386
0.542127821,33.57031665
0.530036079,33.42045507
0.517506917,33.26175287
0.504621718,33.09296812
0.491258409,32.91922032
0.477579753,32.73944584
0.463487413,32.55061685
0.449042426,32.35301494
0.434268528,32.15103617
0.419165717,31.94190188
0.403811985,31.73074372
0.388197157,31.51412129
0.372334798,31.43688091
