,total bpp,total psnr,total ms-ssim,data01 bpp,data01 psnr,data01 ms-ssim,data02 bpp,data02 psnr,data02 ms-ssim,data03 bpp,data03 psnr,data03 ms-ssim,data04 bpp,data04 psnr,data04 ms-ssim
q00_048,1.605712890625,29.85490221109524,0.9747184664011002,2.2705078125,25.855867336813986,0.9809810519218445,0.39599609375,36.82961171140452,0.9700011014938354,1.2138671875,28.11388889241997,0.9724713563919067,2.54248046875,28.62024090374248,0.975420355796814
q00_047,1.604736328125,29.854898414318676,0.9747184216976166,2.26953125,25.855852149707733,0.9809808731079102,0.39501953125,36.82961171140452,0.9700011014938354,1.212890625,28.11388889241997,0.9724713563919067,2.54150390625,28.62024090374248,0.975420355796814
q00_046,1.603759765625,29.854822393218583,0.9747179448604584,2.2685546875,25.855859159134788,0.9809808135032654,0.39404296875,36.82961171140452,0.9700011014938354,1.2119140625,28.11357779859254,0.9724695086479187,2.54052734375,28.62024090374248,0.975420355796814
q00_045,1.6021728515625,29.854514901819087,0.9747173488140106,2.26513671875,25.854367185098376,0.9809686541557312,0.39306640625,36.82961171140452,0.9700011014938354,1.2109375,28.11380080148508,0.9724794626235962,2.53955078125,28.62027990928837,0.9754201769828796
q00_044,1.59716796875,29.852675371087038,0.9747064709663391,2.2568359375,25.85022878418983,0.98094642162323,0.39208984375,36.82961171140452,0.9700011014938354,1.2099609375,28.11380080148508,0.9724794626235962,2.52978515625,28.617060187268713,0.9753988981246948
q00_043,1.589599609375,29.850797120453215,0.9746924340724945,2.244140625,25.84585926368256,0.9809085726737976,0.39111328125,36.82961171140452,0.9700011014938354,1.208984375,28.11380080148508,0.9724794626235962,2.51416015625,28.613916705240705,0.9753805994987488
q00_042,1.5804443359375,29.84551934124662,0.9746846705675125,2.22900390625,25.834426662167044,0.9808683395385742,0.39013671875,36.82961171140452,0.9700011014938354,1.2080078125,28.11389216721036,0.9724823832511902,2.49462890625,28.60414682420457,0.9753868579864502
q00_041,1.5704345703125,29.84080792433611,0.9746641963720322,2.21142578125,25.827450754033052,0.9808306694030762,0.38916015625,36.82961171140452,0.9700011014938354,1.20703125,28.11389216721036,0.9724823832511902,2.47412109375,28.59227706469651,0.9753426313400269
q00_040,1.56005859375,29.833668843575147,0.9746123552322388,2.19287109375,25.81958885757321,0.9807800650596619,0.38818359375,36.82961171140452,0.9700011014938354,1.2060546875,28.11389216721036,0.9724823832511902,2.453125,28.571582638112496,0.9751858711242676
q00_039,1.5491943359375,29.826080540825153,0.9745542854070663,2.17333984375,25.806882634696713,0.9806968569755554,0.38720703125,36.82961171140452,0.9700011014938354,1.205078125,28.11389216721036,0.9724823832511902,2.43115234375,28.55393564998903,0.9750367999076843
q00_038,1.53759765625,29.82050097079682,0.9745176583528519,2.15185546875,25.80000807505709,0.9806174039840698,0.38623046875,36.82961171140452,0.9700011014938354,1.2041015625,28.11389216721036,0.9724823832511902,2.408203125,28.53849192951532,0.974969744682312
q00_037,1.5257568359375,29.815790491903694,0.9744956493377686,2.13037109375,25.79533813859379,0.9805413484573364,0.38525390625,36.82961171140452,0.9700011014938354,1.20263671875,28.113824379552753,0.9724797010421753,2.384765625,28.52438773806371,0.974960446357727
q00_036,1.5135498046875,29.809247686101568,0.9744342118501663,2.10791015625,25.786680889504623,0.9804344177246094,0.38427734375,36.82961171140452,0.9700011014938354,1.201171875,28.11377493125255,0.9724826216697693,2.36083984375,28.50692321224459,0.9748187065124512
q00_035,1.50146484375,29.804277111108263,0.9744235873222351,2.08544921875,25.77901442860203,0.9803656339645386,0.38330078125,36.83004846513925,0.9699954986572266,1.2001953125,28.113707800355275,0.9724830389022827,2.3369140625,28.494337750336495,0.9748501777648926
q00_034,1.4892578125,29.796459430856203,0.9743855148553848,2.06298828125,25.769574507879568,0.9802557826042175,0.38232421875,36.83004846513925,0.9699954986572266,1.19873046875,28.11544928225898,0.9725816249847412,2.31298828125,28.470765468147015,0.974709153175354
q00_033,1.476806640625,29.791097492687115,0.9743548035621643,2.0400390625,25.76121530633687,0.9801759719848633,0.38134765625,36.83004846513925,0.9699954986572266,1.1962890625,28.119620934670483,0.972655177116394,2.28955078125,28.45350526460186,0.9745925664901733
q00_032,1.4639892578125,29.785810703853652,0.9743411689996719,2.0166015625,25.755219169359055,0.9800843000411987,0.38037109375,36.83004846513925,0.9699954986572266,1.19384765625,28.11892385092923,0.972644031047821,2.26513671875,28.439051329987063,0.9746408462524414
q00_031,1.4508056640625,29.777722865473116,0.9742879420518875,1.99267578125,25.748231337674614,0.9800209403038025,0.37939453125,36.83004846513925,0.9699954986572266,1.1904296875,28.120571981927327,0.9726607799530029,2.24072265625,28.412039677151263,0.9744745492935181
q00_030,1.437255859375,29.772237682649816,0.9742457270622253,1.96875,25.740063224600462,0.9799309968948364,0.37841796875,36.83004846513925,0.9699954986572266,1.185546875,28.125348075270125,0.972692608833313,2.21630859375,28.39349096558943,0.9743638038635254
q00_029,1.4234619140625,29.766171426916316,0.9742215722799301,1.94482421875,25.725753546315396,0.9798352718353271,0.37744140625,36.83004846513925,0.9699954986572266,1.1796875,28.130225409999383,0.9727150797843933,2.19189453125,28.37865828621123,0.9743404388427734
q00_028,1.409423828125,29.760311177741393,0.9742166548967361,1.9208984375,25.71312219695837,0.9797295928001404,0.37646484375,36.83004846513925,0.9699954986572266,1.17333984375,28.13543337441523,0.9727651476860046,2.1669921875,28.36264067445272,0.974376380443573
