,total bpp,total psnr,total ms-ssim,data01 bpp,data01 psnr,data01 ms-ssim,data02 bpp,data02 psnr,data02 ms-ssim,data03 bpp,data03 psnr,data03 ms-ssim,data04 bpp,data04 psnr,data04 ms-ssim
q00_048,1.605712890625,39.0745902907596,0.9963718503713608,2.2705078125,37.67867032949772,0.9985019564628601,0.39599609375,43.28530093981837,0.9923301935195923,1.2138671875,42.885702896291214,0.9986971616744995,2.54248046875,32.448686997431096,0.9959580898284912
q00_047,1.604736328125,39.074550390033494,0.996371790766716,2.26953125,37.678510726593274,0.998501718044281,0.39501953125,43.28530093981837,0.9923301935195923,1.212890625,42.885702896291214,0.9986971616744995,2.54150390625,32.448686997431096,0.9959580898284912
q00_046,1.603759765625,39.07420680832061,0.99637171626091,2.2685546875,37.678337428921445,0.9985016584396362,0.39404296875,43.28530093981837,0.9923301935195923,1.2119140625,42.88450186711151,0.9986969232559204,2.54052734375,32.448686997431096,0.9959580898284912
q00_045,1.6021728515625,39.07298442651328,0.996369019150734,2.26513671875,37.67416075161027,0.9984955787658691,0.39306640625,43.28530093981837,0.9923301935195923,1.2109375,42.88389963549204,0.9986955523490906,2.53955078125,32.448576379132426,0.9959547519683838
q00_044,1.59716796875,39.06476423131027,0.9963575750589371,2.2568359375,37.65007598398757,0.9984804391860962,0.39208984375,43.28530093981837,0.9923301935195923,1.2099609375,42.88389963549204,0.9986955523490906,2.52978515625,32.43978036594311,0.9959241151809692
q00_043,1.589599609375,39.04930936439932,0.9963335245847702,2.244140625,37.607275571864065,0.9984597563743591,0.39111328125,43.28530093981837,0.9923301935195923,1.208984375,42.88389963549204,0.9986955523490906,2.51416015625,32.42076131042279,0.9958485960960388
q00_042,1.5804443359375,39.02664419574464,0.9962996244430542,2.22900390625,37.54833907893359,0.9984320402145386,0.39013671875,43.28530093981837,0.9923301935195923,1.2080078125,42.882270774930205,0.9986944198608398,2.49462890625,32.390665989296394,0.9957418441772461
q00_041,1.5704345703125,38.99509587168839,0.9962603002786636,2.21142578125,37.46203212135646,0.9983887672424316,0.38916015625,43.28530093981837,0.9923301935195923,1.20703125,42.882270774930205,0.9986944198608398,2.47412109375,32.35077965064852,0.9956278204917908
q00_040,1.56005859375,38.95979241981574,0.996215209364891,2.19287109375,37.365248662015944,0.9983433485031128,0.38818359375,43.28530093981837,0.9923301935195923,1.2060546875,42.882270774930205,0.9986944198608398,2.453125,32.30634930249845,0.9954928755760193
q00_039,1.5491943359375,38.92816929956566,0.996168851852417,2.17333984375,37.278469128767966,0.9982916116714478,0.38720703125,43.28530093981837,0.9923301935195923,1.205078125,42.882270774930205,0.9986944198608398,2.43115234375,32.2666363547461,0.9953591823577881
q00_038,1.53759765625,38.88711568367608,0.9961154460906982,2.15185546875,37.16444918346791,0.998224139213562,0.38623046875,43.28530093981837,0.9923301935195923,1.2041015625,42.882270774930205,0.9986944198608398,2.408203125,32.216441836487824,0.9952130317687988
q00_037,1.5257568359375,38.847618601772716,0.996063768863678,2.13037109375,37.060259690945145,0.9981588125228882,0.38525390625,43.28530093981837,0.9923301935195923,1.20263671875,42.88066890103171,0.9986937046051025,2.384765625,32.16424487529564,0.9950723648071289
q00_036,1.5135498046875,38.804844492213526,0.996007114648819,2.10791015625,36.942502050438236,0.9980856776237488,0.38427734375,43.28530093981837,0.9923301935195923,1.201171875,42.878753379260026,0.9986924529075623,2.36083984375,32.11282159933748,0.9949201345443726
q00_035,1.50146484375,38.760284963944514,0.9959512054920197,2.08544921875,36.82330865031952,0.9980194568634033,0.38330078125,43.28400167729988,0.9923262596130371,1.2001953125,42.87675964429968,0.9986907243728638,2.3369140625,32.05706988385899,0.9947683811187744
q00_034,1.4892578125,38.71752523349756,0.995891809463501,2.06298828125,36.720156255450554,0.9979459643363953,0.38232421875,43.28400167729988,0.9923262596130371,1.19873046875,42.8660853741237,0.9986857175827026,2.31298828125,31.999857627116114,0.9946092963218689
q00_033,1.476806640625,38.67325784050686,0.9958294630050659,2.0400390625,36.61113216292296,0.9978746771812439,0.38134765625,43.28400167729988,0.9923262596130371,1.1962890625,42.84403173120908,0.9986642599105835,2.28955078125,31.953865790595522,0.9944526553153992
q00_032,1.4639892578125,38.631885215802015,0.9957798421382904,2.0166015625,36.49930744804876,0.9978227019309998,0.38037109375,43.28400167729988,0.9923262596130371,1.19384765625,42.8414097758532,0.9986612200737,2.26513671875,31.902821962006207,0.9943091869354248
q00_031,1.4508056640625,38.58455405995169,0.9957272410392761,1.99267578125,36.38237259370224,0.9977650046348572,0.37939453125,43.28400167729988,0.9923262596130371,1.1904296875,42.81862927033564,0.998645007610321,2.24072265625,31.853212698469004,0.9941726922988892
q00_030,1.437255859375,38.5335604763276,0.995673730969429,1.96875,36.260418958944285,0.9976984262466431,0.37841796875,43.28400167729988,0.9923262596130371,1.185546875,42.78326706485663,0.9986349940299988,2.21630859375,31.80655420420962,0.9940352439880371
q00_029,1.4234619140625,38.47850980972911,0.9956175684928894,1.94482421875,36.13980660137062,0.9976267218589783,0.37744140625,43.28400167729988,0.9923262596130371,1.1796875,42.73667972290763,0.9986218810081482,2.19189453125,31.753551237338307,0.993895411491394
q00_028,1.409423828125,38.42323208473412,0.9955601394176483,1.9208984375,36.02614091627524,0.9975602626800537,0.37646484375,43.28400167729988,0.9923262596130371,1.17333984375,42.685578284152584,0.998609185218811,2.1669921875,31.697207461208787,0.9937448501586914
